tmpf_c,dwpf_c,relh,drct,sknt,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,airport,hour,low_visibility,LATITUDE,LONGITUDE,ELEVATION,hour_of_day,day,month,wx_+SHRA,wx_+TSRA,wx_-SHRA,wx_-TSRA,"wx_-TSRA,fog","wx_-TSRA,haze",wx_BLDU,wx_Heavy DZ,wx_Heavy RA,wx_In the vicinity RA,wx_In the vicinity SH,wx_In the vicinity TS,wx_Light DZ,wx_Light RA,wx_Light TS,wx_MIFG,"wx_MIFG,fog",wx_Moderate BR,wx_Moderate DS,wx_Moderate DU,wx_Moderate DZ,wx_Moderate FG,wx_Moderate FU,wx_Moderate HZ,wx_Moderate RA,wx_Moderate TS,wx_NoWX,"wx_NoWX,fog","wx_NoWX,gusty","wx_NoWX,haze",wx_SHRA,"wx_SHRA,haze,tempo,gusty",wx_TSRA,temp_diff,turbulence
20,15,72,100,8,1018,2,8,4,4,1,1,1000,10000,999,999,2,15,0,17.2333333,78.4166666,617,15,2,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,5,0
20,15,72,100,6,1018,2,6,4,1,1,1,1000,999,999,999,2,16,0,17.2333333,78.4166666,617,16,2,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,5,0
19,15,77,100,6,1018,2,6,4,1,1,1,1000,999,999,999,2,16,0,17.2333333,78.4166666,617,16,2,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,4,0
19,15,77,100,6,1018,1,6,4,1,1,1,1000,999,999,999,2,17,1,17.2333333,78.4166666,617,17,2,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,4,0
19,15,77,120,6,1018,1,6,4,1,1,1,1000,999,999,999,2,17,1,17.2333333,78.4166666,617,17,2,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,4,0
19,15,77,110,7,1017,1,7,4,1,1,1,1000,999,999,999,2,18,1,17.2333333,78.4166666,617,18,2,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,4,0
19,15,77,110,9,1017,1,9,4,1,1,1,1000,999,999,999,2,18,1,17.2333333,78.4166666,617,18,2,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,4,0
19,15,77,120,9,1017,1,9,4,1,1,1,1000,999,999,999,2,19,1,17.2333333,78.4166666,617,19,2,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,4,0
18,15,82,110,10,1017,1,10,4,1,1,1,1000,999,999,999,2,19,1,17.2333333,78.4166666,617,19,2,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,3,0
18,15,82,120,11,1017,1,11,4,1,1,1,1000,999,999,999,2,20,1,17.2333333,78.4166666,617,20,2,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3,0
